일어 기사 제목,한국어 번역,기사 링크,게재 일시,회사명(원문),회사명(한국어 발음),회사 프로필 링크,업종,본사 주소,전화번호,대표자명,상장 여부,자본금,설립일,공식 URL,SNS X,SNS Facebook,SNS YouTube,이메일,문의 웹사이트 URL
"Floricaインナーラクトジェル メディカルが、女性用個室トイレ広告メディア「OiTr ads」にて広告協賛。Floric...
17分前
Pyuru",NULL,https://prtimes.jp/main/html/rd/p/000000073.000077374.html,17分前,Pyuru,NULL,https://prtimes.jp/main/html/searchrlp/company_id/77374,製造業,福岡県糸島市泊23-1,092-321-3701,井上一郎,未上場,-,1998年04月,https://www.pyuru.co.jp/,,,,,https://oitr.jp/media/
"あなたに知ってほしい、大腸がんは日本人がなるがんの第1位です　「自分だけはまだ大丈夫」検診先送りが心配です
27分前
特定非営利活動法人ブレイブサークル運営委員会",NULL,https://prtimes.jp/main/html/rd/p/000000045.000018211.html,27分前,特定非営利活動法人ブレイブサークル運営委員会,NULL,https://prtimes.jp/main/html/searchrlp/company_id/18211,医療・福祉,東京都新宿区西新宿7－22－37 ストーク西新宿福星303,03-6908-9160,荒川正明,未上場,-,2009年07月,http://bravecircle.net/,,,,info@bravecircle.net,http://bravecircle.net
"【予約殺到中で話題！】韓国イベント「SEONGSU TREND COLLECTOR in NAGOYA」にて韓国ヘアメイクサロン「YU1L ...
29分前
株式会社光文社",NULL,https://prtimes.jp/main/html/rd/p/000002310.000021468.html,29分前,株式会社光文社,NULL,https://prtimes.jp/main/html/searchrlp/company_id/21468,情報通信,東京都文京区音羽1-16-6,-,巴 一寿,未上場,1800万円,1945年10月,https://www.kobunsha.com/,,,,k-pop@cs.kobunsha.com,http://www.yu1l.jp/
"2026年1月開催「日本先進矯正歯科学会 学術大会」にて、聖心美容クリニック銀座院院長・牧野陽二郎医師が招待...
1時間前
聖心美容クリニック",NULL,https://prtimes.jp/main/html/rd/p/000000102.000043191.html,1時間前,聖心美容クリニック,NULL,https://prtimes.jp/main/html/searchrlp/company_id/43191,医療・福祉,東京都港区六本木6-6-9 ピラミデビル２F,-,鎌倉 達郎,未上場,-,-,https://www.biyougeka.com/,,,,,https://www.a-orthod.jp/meeting/
"カロンホールディングス株式会社の公開買付価格の変更ならびに株式会社マンダムの賛同意見及び応募推奨を踏ま...
1時間前
M・Nホールディングス株式会社",NULL,https://prtimes.jp/main/html/rd/p/000000002.000177611.html,1時間前,M・Nホールディングス株式会社,NULL,https://prtimes.jp/main/html/searchrlp/company_id/177611,金融・保険業,大阪府堺市西区浜寺昭和町三丁358番地,-,西村 元延,未上場,-,-,-,,,,,https://www.mandom.co.jp/release/?y=2026
"【長崎県初】“私だけの香り”を創るPOPUPが長崎スタジアムシティに登場。MY ONLY FRAGRANCE、2/14（土）より10...
1時間前
株式会社フレグランスプロジェクト",NULL,https://prtimes.jp/main/html/rd/p/000000074.000141418.html,1時間前,株式会社フレグランスプロジェクト,NULL,https://prtimes.jp/main/html/searchrlp/company_id/141418,サービス業,京都府京都市下京区河原町仏光寺下る天満町271-2 3階,-,和田 慎平,未上場,500万円,2023年04月,https://fragrance-pj.com/,,,,,https://lp.myonlyfragrance.com/popup/nagasaki_202602/
"オーストラリア発・たった10成分。心地よく、毎日塗りたくなる日焼け止め「The Kind Sunscreen」日本初上陸。
2時間前
株式会社メリーゴーラウンド",NULL,https://prtimes.jp/main/html/rd/p/000000043.000035044.html,2時間前,株式会社メリーゴーラウンド,NULL,https://prtimes.jp/main/html/searchrlp/company_id/35044,商業（卸売業、小売業）,東京都港区南青山5-3-10 FROM-1ST 1F,0120-430-340,萩原 一禎,未上場,-,2015年03月,https://merrygoround-inc.co.jp/,,,,,https://merrygoround-inc.co.jp/
"【ゆのゆTOYOHASHI】温浴施設で整う、心と身体。女性専用マシンピラティススタジオが2026年3月1日（日）に新...
2時間前
株式会社　名鉄インプレス",NULL,https://prtimes.jp/main/html/rd/p/000000101.000157222.html,2時間前,株式会社　名鉄インプレス,NULL,https://prtimes.jp/main/html/searchrlp/company_id/157222,サービス業,愛知県名古屋市中村区名駅四丁目26番25号 メイフィス名駅ビル4階,052-446-5117,鷲見　勝彦,未上場,9000万円,2003年10月,https://www.meitetsu-impress.co.jp,,,,,https://yuno-yu.com/toyohashi/
"【説明会以上、就活未満｜履歴書なし・スーツなし】3/24＠青山｜美容学生向け体験型リクルートイベント「AshR...
2時間前
株式会社アルテジェネシス",NULL,https://prtimes.jp/main/html/rd/p/000000343.000049680.html,2時間前,株式会社アルテジェネシス,NULL,https://prtimes.jp/main/html/searchrlp/company_id/49680,サービス業,神奈川県横浜市中区翁町1-4-1 アルテマリンウェーブビル 5階,045-663-6123,吉村 栄義,未上場,1億円,1988年11月,https://artegenesis.com/,,,,,https://20183003artegroup.wixsite.com/ashrush
"株式会社名古屋銀行が、尿がん検査「マイシグナル・スキャン」を福利厚生として導入
2時間前
Craif株式会社",NULL,https://prtimes.jp/main/html/rd/p/000000370.000041883.html,2時間前,Craif株式会社,NULL,https://prtimes.jp/main/html/searchrlp/company_id/41883,医療・福祉,東京都新宿区新小川町8-30 THE PORTAL iidabashi B1F,-,小野瀬隆一,未上場,1億円,2018年05月,https://www.craif.com/,,,,,https://misignal.jp/
