일어 기사 제목,기사 링크,게재 일시,회사명(원문),회사 프로필 링크,업종,본사 주소,전화번호,대표자명,상장 여부,자본금,설립일,공식 URL,SNS X,SNS Facebook,SNS YouTube,이메일,문의 웹사이트 URL
"【愛知県・名古屋市】有松駅直結！マシンピラティス専門スタジオ「pilates K（ピラティスケー）」が2月10日(...
5分前
ロイブ",https://prtimes.jp/main/html/rd/p/000000296.000020775.html,2026年2月10日 16時30分,ロイブ,https://prtimes.jp/main/html/searchrlp/company_id/20775,サービス業,北海道札幌市北区北7条西4丁目5-1 伊藤110ビル 4階,011-299-2730,前川彩香,東証グロース,5億6749万円,2008年04月,https://loive.co.jp/,,,,,https://pilates-k.jp/studio/aichi/arimatsu
"トム フォード ソレイユ ネージュ オード パルファム スプレィ、シグネチャー コレクションに加わり新登場
5分前
トム フォード ビューティ",https://prtimes.jp/main/html/rd/p/000000074.000081674.html,2026年2月10日 16時29分,トム フォード ビューティ,https://prtimes.jp/main/html/searchrlp/company_id/81674,商業（卸売業、小売業）,東京都千代田区丸の内3丁目2番3号 丸の内二重橋ビルディング 20階,03-6625-1111,-,未上場,-,-,-,,,,,
"名古屋駅徒歩5分の都市型サウナ「SAUNA MONKEY」が2/14に1周年！感謝を込めた“1周年祭”を2/11〜2/15開催
8分前
株式会社丸泰",https://prtimes.jp/main/html/rd/p/000000011.000124666.html,2026年2月10日 16時27分,株式会社丸泰,https://prtimes.jp/main/html/searchrlp/company_id/124666,建設業,岐阜県岐阜市領下6-46,058-246-5181,伊藤寛章,未上場,5000万円,1951年01月,https://www.maruyasu-gr.co.jp,,,,,https://youtu.be/Ctw1m_qBLoM?si=BydN0i6UcqFPVaIX
"TeAmo1MONTHのシリコーンハイドロゲルカラコンにDIA15mmの“とろけるミルキーカラー”2色が新登場！
22分前
株式会社Lcode",https://prtimes.jp/main/html/rd/p/000000111.000020681.html,2026年2月10日 16時13分,株式会社Lcode,https://prtimes.jp/main/html/searchrlp/company_id/20681,商業（卸売業、小売業）,大阪市中央区久太郎町3-4-28 センバフロント8F,06-6244-0887,藤原智洋,未上場,9億円,2012年02月,https://lcode.co.jp/,,,,,https://teacon.jp/type/1month_silicone/
"【神奈川県・横浜市】マシンピラティス専門スタジオ「pilates K（ピラティスケー）」が2月10日(火)、ドン・キ...
25分前
ロイブ",https://prtimes.jp/main/html/rd/p/000000295.000020775.html,2026年2月10日 16時10分,ロイブ,https://prtimes.jp/main/html/searchrlp/company_id/20775,サービス業,北海道札幌市北区北7条西4丁目5-1 伊藤110ビル 4階,011-299-2730,前川彩香,東証グロース,5億6749万円,2008年04月,https://loive.co.jp/,,,,,https://pilates-k.jp/studio/kanagawa/futamatagawa
"【ロクシタン】渋谷店が、渋谷区から感謝状。「きれいなまちづくり」に貢献。
42分前
ロクシタンジャポン株式会社",https://prtimes.jp/main/html/rd/p/000000621.000011965.html,2026年2月10日 15時52分,ロクシタンジャポン株式会社,https://prtimes.jp/main/html/searchrlp/company_id/11965,製造業,東京都千代田区麹町1-6-4 住友不動産半蔵門駅前ビル10階,03-3234-6966,山本 直樹,海外市場,1億円,-,http://www.loccitane.co.jp/info/company.html,,,,,https://jp.loccitane.com/
"メデリピルの公式LINE友だち登録者数が50万人突破！
42分前
mederi株式会社",https://prtimes.jp/main/html/rd/p/000000171.000054252.html,2026年2月10日 15時52分,mederi株式会社,https://prtimes.jp/main/html/searchrlp/company_id/54252,サービス業,東京都目黒区大橋2-22-6-5F,-,坂梨亜里咲,未上場,-,2019年08月,https://mederi.jp/,,,,pr@mederi.jp,https://mederi.jp
"3月8日は「国際女性デー」。鮮やかで幸福感あふれる“ミモザの花束”を香りで届ける「ミモザブーケ コレクション」
1時間前
株式会社FERNANDA JAPAN",https://prtimes.jp/main/html/rd/p/000000093.000018938.html,2026年2月10日 15時30分,株式会社FERNANDA JAPAN,https://prtimes.jp/main/html/searchrlp/company_id/18938,商業（卸売業、小売業）,神奈川県横浜市中区尾上町2-19 ヨコハマパークビル9階,045-228-7789,流合貴之,未上場,-,2010年08月,https://www.fernanda.jp/,,,,info@fernanda.jp,https://fernanda.jp/
"アルヌール、TOKYOでパブロバ等の微細藻類を培養
1時間前
パス株式会社",https://prtimes.jp/main/html/rd/p/000000127.000072966.html,2026年2月10日 15時30分,パス株式会社,https://prtimes.jp/main/html/searchrlp/company_id/72966,商業（卸売業、小売業）,東京都渋谷区神宮前6-17-11 JPR原宿ビル,03-6823-6664,松尾 孝之,東証スタンダード,18億5176万円,1990年05月,http://www.pathway.co.jp,,,,,https://www.alnur.jp/
"matsukiyo LAB（マツキヨラボ）のSUPPLEMENT Bar（サプリメントバー）がリブランディング「Supup（サップアッ...
1時間前
株式会社マツキヨココカラ＆カンパニー",https://prtimes.jp/main/html/rd/p/000000169.000089283.html,2026年2月10日 15時30分,株式会社マツキヨココカラ＆カンパニー,https://prtimes.jp/main/html/searchrlp/company_id/89283,商業（卸売業、小売業）,東京都文京区湯島1丁目8番2号 MK御茶ノ水ビル7階,03-6845-0005,松本 清雄,東証1部,-,2007年10月,-,,,,,https://www.matsukiyococokara-online.com/mkc/matsukiyolab/service/supplement.html
"2/ 11(水・祝)～3/22(日)開催 第130回記念水戸の梅まつり　「偕楽園の梅ハンドクリーム」
1時間前
株式会社 鈴木ハーブ研究所",https://prtimes.jp/main/html/rd/p/000000167.000076897.html,2026年2月10日 15時10分,株式会社 鈴木ハーブ研究所,https://prtimes.jp/main/html/searchrlp/company_id/76897,商業（卸売業、小売業）,茨城県那珂郡東海村村松2461,029-282-8881,鈴木 さちよ,未上場,-,2004年09月,https://s-herb.com,,,,,https://s-herb.com
"フランス生まれのナチュラルミネラルウォーター「コントレックス」、ブランドカラーの“ピンクの吊手広告”を電...
1時間前
株式会社大香",https://prtimes.jp/main/html/rd/p/000000011.000145812.html,2026年2月10日 15時04分,株式会社大香,https://prtimes.jp/main/html/searchrlp/company_id/145812,商業（卸売業、小売業）,東京都中央区銀座3-2-10 並木ビル4階,03-3567-8456,小仲 正也,未上場,4000万円,1965年07月,https://www.daiko-inc.co.jp/,,,,,https://www.contrex.jp/「コントレックス」で検索
"【福岡のU30向けキャリア形成】eatas代表 手嶋英津子が、国連広報局NGO「福岡国際ミズの会」主催イベントに登...
1時間前
eatas株式会社",https://prtimes.jp/main/html/rd/p/000000036.000077218.html,2026年2月10日 15時02分,eatas株式会社,https://prtimes.jp/main/html/searchrlp/company_id/77218,医療・福祉,福岡市中央区大名1-3-41 プリオ大名ビル2F,090-9493-8313,手嶋英津子,未上場,760万円,2021年03月,https://eatas-inc.com/,,,,info@eatas-inc.com,https://kokusai-mizu.p-kit.com/
"小中学生の子を持つ親の約6割が、子どもとの共通の趣味があると回答！ノアインドアステージ株式会社が「小中...
1時間前
ノアインドアステージ株式会社",https://prtimes.jp/main/html/rd/p/000000097.000031394.html,2026年2月10日 15時00分,ノアインドアステージ株式会社,https://prtimes.jp/main/html/searchrlp/company_id/31394,サービス業,兵庫県姫路市東山524,079-246-2069,大西雅之,未上場,5000万円,1980年05月,https://www.noahis.com/corp/,,,,,https://noahis.com/
"ライフスタイルブランド〈NNN〉公式サイトリニューアルオープン＆第２弾イベント開催 あなたに合ったスキンケ...
1時間前
株式会社GENUINENESS JAPAN",https://prtimes.jp/main/html/rd/p/000000022.000164545.html,2026年2月10日 15時00分,株式会社GENUINENESS JAPAN,https://prtimes.jp/main/html/searchrlp/company_id/164545,商業（卸売業、小売業）,東京都渋谷区道玄坂1丁目19-12 道玄坂今井ビル4F,03-584-0028,文忠烈,未上場,-,2024年03月,-,,,,,https://www.nnnlifestyle.jp/
